source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 486 liver	Mus musculus	liver	not available	3	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 486	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_486_C12	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_486_C12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 488 liver	Mus musculus	liver	not available	6	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 488	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_488_B12	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_488_B12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 490 liver	Mus musculus	liver	not available	4	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 490	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_490_D1	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_490_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 504 liver	Mus musculus	liver	not available	3	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 504	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_504_C9	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_504_C9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 510 liver	Mus musculus	liver	not available	5	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 510	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_510_A7	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_510_A7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 512 liver	Mus musculus	liver	not available	4	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 512	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_512_B10	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_512_B10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 520 liver	Mus musculus	liver	not available	2	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 520	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_520_B5	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_520_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 522 liver	Mus musculus	liver	not available	3	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 522	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_522_A9	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_522_A9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 524 liver	Mus musculus	liver	not available	4	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 524	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_524_B1	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_524_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 530 liver	Mus musculus	liver	not available	5	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 530	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_530_B2	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_530_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 356 liver	Mus musculus	liver	not available	5	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 356	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_356_F1	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_356_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
mouse 326 liver	Mus musculus	liver	not available	1	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 326	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_326_F8	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_326_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 336 liver	Mus musculus	liver	not available	4	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 336	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_336_F7	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_336_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
mouse 328 liver	Mus musculus	liver	not available	3	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 328	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_328_F4	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_328_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 322 liver	Mus musculus	liver	not available	2	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 322	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_322_E1	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_322_E1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 338 liver	Mus musculus	liver	not available	2	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 338	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_338_E6	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_338_E6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
mouse 346 liver	Mus musculus	liver	not available	5	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 346	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_346_F6	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_346_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 362 liver	Mus musculus	liver	not available	6	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 362	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_362_E12	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_362_E12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 352 liver	Mus musculus	liver	not available	4	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 352	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_352_F2	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_352_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 360 liver	Mus musculus	liver	not available	6	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 360	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_360_F12	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_360_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 368 liver	Mus musculus	liver	not available	7	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 368	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_368_E2	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_368_E2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 324 liver	Mus musculus	liver	not available	1	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 324	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_324_E5	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_324_E5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
mouse 334 liver	Mus musculus	liver	not available	3	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 334	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_334_E10	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_334_E10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
